SName,Lyric
Paulinha,"Não há quem te ame tanto
Envolvido em seus encantos
Não há jeito de não ter o seu amor
Agora soube que você já se casou
Por que casou?

Se te vejo, rezo, choro
E ao segurança imploro
É linda e é mais linda lá no show
Agora soube que você já se casou
Por que casou?

Paulinha, me diz o que é que eu faço?
Paulinha, te amo, amor
Paulinha, me diz o que é que eu faço?
Paulinha, por que se casou?"
Liga Pra Mim,"Liga pra mim
Eu tenho tantas coisas pra te falar
Liga pra mim
Vai ser tão bom, nós Precisamos conversar

Todos sabem que eu te amo
Só você e mais ninguém
Eu te vejo em qualquer lugar que eu vá
E sei também, você anda louco pra voltar

Não faz assim
Eu me deprimo todo sem você aqui
Não faz assim
Sem este amor meu Deus o que vai ser de mim?


Todos sabem que eu te amo
Só você e mais ninguém
Eu te vejo em qualquer lugar que eu vá
E sei também, você anda louco pra voltar

Vem depressa por favor
Dê uma chance ao nosso amor
Oh vem! Oh vem!
Vem depressa por favor
Dê uma chance ao nosso amor

By Edwilson Sousa"
Ainda Te Amo,"Já faz tempo
Que esse meu coração
Tá batendo sem jeito,sem graça
E até meu violão
Não mais toca a canção
Aquela que a gente gostava

Esqueceram de nós
Não me perguntam mais como vai você
E das marcas, o que mais faz doer
É saber que eu tenho que te esquecer

É que eu ainda te amo
Te quero demais
Não posso te ver longe assim
Fugindo de mim
Há coisas que não dá pra apagar

Ainda te amo
Como antigamente
E sei que em seu coração
Nosso amor não acabou completamente"
Agora Estou Sofrendo,"Não há amor para mim, não
Você estava mentindo
Diga logo que não me amou

Que não gostou de mim
Não sente amor por mim

Quais as armas que encontra
Pra fazer seus encantos
Derramar seu amor em mim

Mas não gostou de mim
Não sente amor

Me fere, me risca de amor
E foge, não me alimenta
Não sabe que já me conquistou
Agora estou sofrendo"
Declaração de Amor,"Hoje me deu uma vontade louca alucinada
De me declarar pra você
Te amar é bom demais

E só você me faz voar no céu azul, mergulhar no oceano
sem medo nenhum
Quero te prometer o que você quiser
Todo o meu amor
Estrela guia me carregue para onde for
Te amo, te amo

Eu sei que um dia a gente pode se perder
Mas não vai ser assim se depender de mim
Porque eu vou lutar pra nunca acabar
Haja o que houver venha o que vier
Inverno ou verão
Em qualquer estação

Só vou gritar amor, amor, amor
Menino eu te amo
tá difícil de viver a vida sem você
Menino eu te quero vou virar o mundo
Mas amor vou ter você"
Louca Por Ti,"Amor demais,
Lembro dos momentos que te amei demais.
Foi assim,
Só Nós dois na Praia
E eu me perdi.
Louca Por Ti,
Foi Amor de mais,
Louca por Ti.

Amor demais,
Lembro dos momentos que te amei demais.
Foi assim0,
Só Nós dois na Praia
E eu me perdi.
Louca Por Ti,
Foi Amor de mais,
Louca por Ti, i, i, i, i
Uuu....

Amor demais,
Lembro dos momentos que te amei demais.
Foi assim0,
Só Nós dois na Praia
E eu me perdi.
Louca Por Ti,
Foi Amor de mais,
Louca por Ti, i, i, i
Uuu...

//
Te amo tanto pra viver,
Assim tão longe de você amor.
Vou embora pra não ver,
Outro alguém que não sou;
O|cupando meu lugar.

Não dá pra negar que sou louco por você,
Não dá, não dá
Não dá pra negar minha vida é te querer.
Não dá, Não dá
Meu grande Amor...

Não diga não...
Que já tem lá dentro do seu coração...

Não diga não,
Não....

Não diga não, não, não..."
Hoje À Noite,"A noite passa devagar, estou aqui deitado só
no tic-tac do relogio, me aqueço com o seu lençol

Gostaria de saber onde você está
Hoje à noite você nao vai acabar..... sozinha

Amor, eu sempre estive sozinha
Eu nunca me importei, até lhe conhecer
E agora você me escolhe
Como deixá-lo sozinho(2x)

Você não sabe o quanto eu quis
te abraçar, tocar seus lábios, beijar, amar você
Não sabe quanto eu esperei dormir com você hoje a noite
Mas o segredo ainda esta comigo
O Meu amor por você é demais"
Sonho Lindo,"Como foi tão bom a gente se encontrar
Eu tava precisando de alguem assim
Num canto reservado pra gente se amar
Que esse amor resista até o fim

Tocar o seu corpo é viajar pro céu
Beijar sua boca tem sabor de mel
Você é o sonho lindo que eu sonhei pra mim

Vem me amar
Vem pra mim
Vem me amar
Diz que sim
que esse amor não vai ter fim
você é um sonho lindo que sonhei pra mim
Você é o sonho lindo que eu sonhei pra mim!"
Manchete dos Jornais,"Eu faço tudo por você.
Ponho um anúncio na tv.
Mostro meu
Coração pra todo mundo ver,
Por que eu amo você.

Pare de dizer que não me ama
Que não vai voltar
Que eu não sou e nem serei mais
Dono do seu coração
Que não tá nem ai pra mim
Com quem eu saio,
O que faço,
Com quem fico
Que eu posso até me matar
Não venha agora me dizer
Que tanto amor e as flores
Que regamos juntos
Já morreram no nosso jardim
Pois eu te digo não desisto
Você sabe muito bem que sou capaz de até parar...
O mundo de girar pra te reconquistar
Dar uma de super-heróI
Amor vou te mostrar pago que preço for
Pra resgatar o seu amor...

(refrão)
Eu faço tudo por você (2*)
Ponho um anúncio na tv
Mostro meu coração pra todo mundo ver
Eu não desistirei jamais viro manchete dos jornais
Eu vou fazer de tudo pra não te perder
Porque amo você."
O Navio E O Mar,"Foi você quem me escolheu
Quando entrou no meu mar
Navegou, não quis saber
Atracou no meu cais
E agora quer me deixar
Não, não posso aceitar
Quem jamais vai separar
O navio e o mar

Sem ninguém
Por favor, compreenda
Sem ninguém, sem ninguém
Numa ilha só
Foi você quem me escolheu
Quando entrou no meu mar
Navegou, não quiz saber
Atracou no meu cais

Sem ninguém
Por favor, compreenda
Sem ninguém, sem ninguém
Numa ilha só

Foi você quem me escolheu
Quando entrou no meu mar
Navegou, não quiz saber
Atracou no meu cais
E agora quer me deixar
Não, não posso aceitar
Quem jamais vai separar
O navio e o mar.

Sem ninguém
Por favor, compreenda
Sem ninguém, sem ninguém
Numa ilha só"
